código,clave,descripción,margen de mercado,caja,master,precio,unidad,ean,precio mínimo de venta,alta rotación,precio mayoreo con IVA,precio distribuidor con IVA,precio público con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio público sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripción Familia,Peso[Kg],Volumen[cm3]
100048,PET-15X,"Llave ajustable (perico) 15' cromada, TRUPER",MM00,2,12,585,Pieza,7.50624E+12,375,0,485,375,585,418.1,323.28,504.31,Truper,461.21,535,27111707,Llaves ajustables,P085,Llaves ajustables,1.09,1660.968
100049,PET-15C,"Llave ajustable (perico) 15' profesional cromada, Expert",MM00,4,12,825,Pieza,7.50624E+12,525,0,685,525,825,590.52,452.59,711.21,Expert,642.24,745,27111707,Llaves ajustables,P085,Llaves ajustables,1.33,1660.968
100098,REP-CUT-5X,"Estuche con 10 cuchillas SK2 de 9 mm para cutter, Expert",MM00,6,144,28,Set,7.50624E+12,18,0,23,18,28,19.83,15.52,24.14,Expert,22.41,26,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.035,120.9
100099,REP-CUT-6X,"Estuche con 10 cuchillas SK2 de 18 mm para cutter, Expert",MM00,6,144,49,Set,7.50624E+12,32,0,42,32,49,36.21,27.59,42.24,Expert,39.66,46,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.085,186.404
100101,REP-CUT-650,"Estuche con 50 cuchillas SK4 de 18 mm para cutter, Truper",MM00,2,20,135,Set,7.50624E+12,85,0,110,85,135,94.83,73.28,116.38,Truper,103.45,120,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.368,425.7
100103,ST-724X,"Disco sierra 7-1/4' p/madera, 24 dientes centro 5/8', Expert",MM00,3,12,339,Pieza,7.50624E+12,215,0,279,215,339,240.52,185.34,292.24,Expert,266.38,309,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.32,644.592
100104,ST-740X,"Disco sierra 7-1/4' p/madera, 40 dientes centro 5/8', Expert",MM00,3,12,415,Pieza,7.50624E+12,265,0,345,265,415,297.41,228.45,357.76,Expert,323.28,375,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.34,660.66
100105,ST-1040EX,"Disco sierra 10' para madera, 40 dientes centro 1', Expert",MM00,3,12,665,Pieza,7.50624E+12,425,0,555,425,665,478.45,366.38,573.28,Expert,530.17,615,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.72,1140.098
100106,ST-1060EX,"Disco sierra 10' para madera, 60 dientes centro 1', Expert",MM00,3,12,785,Pieza,7.50624E+12,500,0,650,500,785,560.34,431.03,676.72,Expert,616.38,715,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.725,1113.412
100107,ST-1240EX,"Disco sierra 12' para madera, 40 dientes centro 1', Expert",MM00,3,12,965,Pieza,7.50624E+12,615,0,795,615,965,685.34,530.17,831.9,Expert,754.31,875,23231200,Sierras circulares y accesorios,P129,Discos de sierra,1.16,1546.491
100108,ST-1260EX,"Disco sierra 12' para madera, 60 dientes centro 1', Expert",MM00,3,12,1135,Pieza,7.50624E+12,725,0,945,725,1135,814.66,625,978.45,Expert,892.24,1035,23231200,Sierras circulares y accesorios,P129,Discos de sierra,1.14,1613.731
100109,ST-10100AX,"Disco sierra 10' p/aluminio, 100 dientes centro 5/8', Expert",MM00,3,12,1750,Pieza,7.50624E+12,1100,0,1425,1100,1750,1228.45,948.28,1508.62,Expert,1357.76,1575,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.86,1177.092
100121,SPX-13C,"Serrucho de poda 13',hoja curva,7 DPP, mango madera, EXPERT",MM00,3,24,299,Pieza,7.50624E+12,189,0,245,189,299,211.21,162.93,257.76,Expert,231.9,269,27111500,Herramientas de corte y engarzado y punzones,P216,Serruchos jardineros,0.239,1759.604
100122,SPX-13R,"Serrucho de poda 13',hoja recta,7 DPP, mango madera, EXPERT",MM00,3,24,289,Pieza,7.50624E+12,185,0,239,185,289,206.03,159.48,249.14,Expert,228.45,265,27111500,Herramientas de corte y engarzado y punzones,P216,Serruchos jardineros,0.24,1789.942
100128,DILF-4120,"Disco lija 4-1/2' con respaldo de fibra, grano 120, TRUPER",MM00,5,125,17,Pieza,7.50624E+12,10,0,14,10,17,12.07,8.62,14.66,Truper,13.36,15.5,27112742,Lija de disco,P515,Discos de lija,0.016,73.952
100130,REP-CUT-7X,"Estuche con 10 cuchillas SK2 de 25 mm para cutter, Expert",MM00,6,96,125,Set,7.50624E+12,79,0,103,79,125,88.79,68.1,107.76,Expert,97.41,113,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.19,221.958
100131,REP-CUT-650X,"Estuche con 50 cuchillas SK2 de 18 mm para cutter, Expert",MM00,2,20,215,Set,7.50624E+12,135,0,175,135,215,150.86,116.38,185.34,Expert,168.1,195,27111503,Cuchillos de diversas aplicaciones,P049,Cutters y exactos,0.365,368.64
100139,CA-40,"Cavador giratorio de acero, mango 'T' 30', Truper",MM00,2,0,1150,Pieza,7.50624E+12,795,0,955,795,1150,823.28,685.34,991.38,Truper,905.17,1050,21101606,Excavadoras de agujeros,P402,Cavadores nacionales y Latam,4.81,20661.732
10014,PR-PE,"Pala (lampa) recta, Perú, Truper",MM00,3,0,0,Pieza,7.50624E+12,110,0,*,110,*,*,94.83,*,Truper,137.93,160,27112004,Palas,P299,Palas nacionales,2.113,6157.148
100142,PAR-26,"Prensa de ajuste rápido 6' uso rudo, cuerpo nylon, Expert",MM00,2,24,315,Pieza,7.50624E+12,199,0,259,199,315,223.28,171.55,271.55,Expert,245.69,285,27112100,Herramientas de sujeción y fijación,P769,Prensas y sargentos,0.6,2782.856
100143,PAR-212,"Prensa de ajuste rápido 12' uso rudo, cuerpo nylon, Expert",MM00,2,24,365,Pieza,7.50624E+12,235,0,305,235,365,262.93,202.59,314.66,Expert,288.79,335,27112100,Herramientas de sujeción y fijación,P769,Prensas y sargentos,0.7,3698.008
100144,PAR-224,"Prensa de ajuste rápido 24' uso rudo, cuerpo nylon, Expert",MM00,2,12,465,Pieza,7.50624E+12,295,0,385,295,465,331.9,254.31,400.86,Expert,357.76,415,27112100,Herramientas de sujeción y fijación,P769,Prensas y sargentos,0.86,6145.44
100145,SUS-CAS,"Suspensión para cascos, ajuste por matraca, Truper",MM00,1,48,93,Pieza,7.50624E+12,59,0,77,59,93,66.38,50.86,80.17,Truper,73.28,85,31162800,Ferretería en general,P224,Cascos de seguridad,0.12,2699.91
100147,PES-X,"Pala escarramán, puño 'Y', mango acero, Truper Expert",MM00,3,0,355,Pieza,7.50624E+12,245,0,295,245,355,254.31,211.21,306.03,Expert,280.17,325,27112004,Palas,P299,Palas nacionales,2.64,6947.942
100148,MAN-30X3/4XX,Manguera 3/4' anti-torceduras 6 capas 30m conexiones d/metal,MM00,2,0,975,Pieza,7.50624E+12,675,0,805,675,975,693.97,581.9,840.52,Expert,762.93,885,40142000,Mangueras,P095,Mangueras de jardín armadas,9.17,32193
100153,EST-45/50/60,2 estabilizadores calibre 15 p/carretillas TRUPER y EXPERT,MM00,6,0,55,Par,7.50624E+12,35,0,45,35,55,38.79,30.17,47.41,Truper,43.1,50,31162800,Ferretería en general,P433,Refacciones de carretillas,0.5,485.597
100155,JT-S,"Tornilleria con chumaceras para carretilla CAR-82, TRUPER",MM00,6,0,135,Juego,7.50624E+12,85,0,110,85,135,94.83,73.28,116.38,Truper,103.45,120,31162800,Ferretería en general,P433,Refacciones de carretillas,0.68,461.993
100156,JT-M,"Tornilleria con chumaceras para carretilla TP-8, TRUPER",MM00,6,0,135,Juego,7.50624E+12,85,0,110,85,135,94.83,73.28,116.38,Truper,103.45,120,31162800,Ferretería en general,P433,Refacciones de carretillas,0.66,516.914
100158,BAS-CU-60-G,"Bastidor de madera 39 x 48 mm para carretilla TP-8, TRUPER",MM00,6,0,229,Pieza,7.50624E+12,145,0,189,145,229,162.93,125,197.41,Truper,180.17,209,31162800,Ferretería en general,P433,Refacciones de carretillas,1.446,3030
100171,BOS-1LH,"Bomba sumergible hierro fundido, agua limpia, 1 HP, TRUPER",MM0,1,0,4500,Pieza,7.50624E+12,3100,0,3725,3100,4500,3211.21,2672.41,3879.31,Truper,3530.17,4095,40151500,Bombas,P146,Bombas para agua,16.63,18938.61
100172,ST-424,"Disco sierra 4-1/2' para madera, 24 dientes centro 3/8'",MM00,3,36,189,Pieza,7.50624E+12,120,0,157,120,189,135.34,103.45,162.93,Truper,146.55,170,23231200,Sierras circulares y accesorios,P129,Discos de sierra,0.076,139.249
100173,GA-MA-N,"Gancho plástico naranja para manguera de jardín, Truper",MM00,6,36,77,Pieza,7.50624E+12,49,0,64,49,77,55.17,42.24,66.38,Truper,59.48,69,31162800,Ferretería en general,P294,Porta mangueras,0.155,1493.473
100177,CAR-81FF,"Carretilla 8 ft3 Imponchable, bastidor tubular, Truper",MM00,1,0,2185,Pieza,7.50624E+12,1640,0,1805,1640,2185,1556.03,1413.79,1883.62,Truper,1711.21,1985,24101507,Carretillas,P432,Carretillas nacionales y Latam,18.125,89699.98
100178,CAT-60PL-FF,"Carretilla concha plástica 6 ft Imponchable b/tubular,Truper",MM00,1,0,1725,Pieza,7.50624E+12,1295,0,1425,1295,1725,1228.45,1116.38,1487.07,Truper,1349.14,1565,24101507,Carretillas,P432,Carretillas nacionales y Latam,15.45,98192.68
100180,CU-S,Cuña plástica para carretillas tipo americano,MM00,6,0,55,Pieza,7.50624E+12,35,0,45,35,55,38.79,30.17,47.41,Truper,43.1,50,31162800,Ferretería en general,P433,Refacciones de carretillas,0.22,733.133
100182,E-2W,Eje largo para carretillas tipo americano 2 llantas TRUPER,MM00,6,0,135,Pieza,7.50624E+12,85,0,110,85,135,94.83,73.28,116.38,Truper,103.45,120,31162800,Ferretería en general,P433,Refacciones de carretillas,0.893,151.04
100197,STP-7PR,"Serrucho plegable 7' hoja recta 11 DPP mango plástico,Truper",MM00,4,24,149,Pieza,7.50624E+12,95,0,125,95,149,107.76,81.9,128.45,Truper,116.38,135,27111500,Herramientas de corte y engarzado y punzones,P216,Serruchos jardineros,0.25,1381.385
100198,STP-10PC,"Serrucho plegable 10' hoja curva 5 DPP mango plástico,Truper",MM00,4,24,195,Pieza,7.50624E+12,125,0,165,125,195,142.24,107.76,168.1,Truper,150.86,175,27111508,Sierras,P216,Serruchos jardineros,0.339,1748.543
100250,COMBOE-4580ALF,"Combo esmeriladora 4-1/2', 850W,lentes y flexómetro,ERGO-PRO",MM1,1,4,965,Set,7.50624E+12,725,0,795,725,965,685.34,625,831.9,Truper,754.31,875,31162800,Ferretería en general,P097,Máquinas portátiles,2.796,8085
100258,BA-PAT,"Balero de bolas para patín traspaleta, Truper",MM00,1,8,72,Pieza,7.50624E+12,49,0,59,49,72,50.86,42.24,62.07,Truper,56.03,65,24101700,Transportadores y accesorios,P217,Gatos hidráulicos y mecánicos,0.095,140.25
100276,Ext-1000,"Extintor portátil recargable 1 kg, polvo tipo ABC, Truper",MM00,2,10,399,Pieza,7.50624E+12,255,0,329,255,399,283.62,219.83,343.97,Truper,309.48,359,31162800,Ferretería en general,P593,Extintores,1.838,4734.55
100293,LEDE-SN-R,"Lentes de seguridad, gris con banda elástica, Active, Truper",MM00,6,264,93,Pieza,7.50624E+12,59,0,77,59,93,66.38,50.86,80.17,Truper,73.28,85,46181811,Lentes protectores,P222,Goggles y lentes,0.035,375.221
100300,COMP-KIT25,"Kit Compresor lub, 25L, manguera y pistola grav,127V, TRUPER",MM0,1,0,4850,Set,7.50624E+12,3650,0,4050,3650,4850,3491.38,3146.55,4181.03,Truper,3836.21,4450,40151616,Kits de compresores,P041,Compresores,27.82,103486.5
100334,EM-50,"Engrapadora tipo martillo, uso rudo, Truper",MM00,4,16,645,Pieza,7.50624E+12,445,0,535,445,645,461.21,383.62,556.03,Truper,504.31,585,31162800,Ferretería en general,P151,Engrapadoras,0.98,1758.48
100353,PROCA-N,"Protector solar plegable para casco, naranja con reflejante",MM00,5,25,139,Pieza,7.50624E+12,89,0,115,89,139,99.14,76.72,119.83,Truper,109.48,127,39121719,Protectores,P886,Protección Solar,0.102,631.04
100354,PROCA-V,"Protector solar plegable para casco, verde con reflejante",MM00,5,25,139,Pieza,7.50624E+12,89,0,115,89,139,99.14,76.72,119.83,Truper,109.48,127,39121719,Protectores,P886,Protección Solar,0.1,616.828
100360,MUT-36,"Multímetro digital profesional, Truper",MM00,2,16,545,Pieza,7.50624E+12,375,0,445,375,545,383.62,323.28,469.83,Truper,426.72,495,41113630,Multímetros,P166,Multímetros,0.359,1672.185
100361,MUT-50A,Multimetro profesional con RMS verdadero y auto rango,MM00,2,16,805,Pieza,7.50624E+12,555,0,665,555,805,573.28,478.45,693.97,Truper,633.62,735,41113630,Multímetros,P166,Multímetros,0.36,1672.185
100362,MUT-60A,Multímetro profesional con RMS verdadero y auto rango Deluxe,MM00,2,4,1050,Pieza,7.50624E+12,725,0,865,725,1050,745.69,625,905.17,Truper,823.28,955,41113630,Multímetros,P166,Multímetros,0.54,3143.36
100370,LIBA-4X24N3,"Lijadora de banda 4 x 24', 1200W, TRUPER INDUSTRIAL",MM0,1,3,3650,Pieza,7.50624E+12,2750,0,3050,2750,3650,2629.31,2370.69,3146.55,Truper,2887.93,3350,31162800,Ferretería en general,P097,Máquinas portátiles,7.06,28506.935
100416,CAT 50X,"Carretilla 5.5ft3 Imponchable bastidor tubular,Truper Expert",MM00,1,0,2115,Pieza,7.50624E+12,1590,0,1745,1590,2115,1504.31,1370.69,1823.28,Expert,1650.86,1915,24101507,Carretillas,P432,Carretillas nacionales y Latam,19.454,72863.724
100417,CAT 60X,"Carretilla 6ft3 Imponchable, bastidor tubular, Truper Expert",MM00,1,0,2195,Pieza,7.50624E+12,1650,0,1815,1650,2195,1564.66,1422.41,1892.24,Expert,1719.83,1995,24101507,Carretillas,P432,Carretillas nacionales y Latam,21.48,90971.644
100430,BOAC-1A,"Bomba centrífuga para agua, 1 HP, TRUPER",MM0,1,0,2325,Pieza,7.50624E+12,1750,0,1925,1750,2325,1659.48,1508.62,2004.31,Truper,1823.28,2115,40151503,Bombas centrífugas,P146,Bombas para agua,14.755,15993.6
100433,BOAC-1AX,"Bomba centrífuga para agua, 1 HP, TRUPER EXPERT",MM0,1,0,2595,Pieza,7.50624E+12,1950,0,2150,1950,2595,1853.45,1681.03,2237.07,Expert,2025.86,2350,40151503,Bombas centrífugas,P146,Bombas para agua,16.54,16540.992
100435,AFI-TIJ,"Afilador para herramientas de corte, Truper",MM00,6,96,109,Pieza,7.50624E+12,69,0,90,69,109,77.59,59.48,93.97,Truper,84.48,98,27111554,Afilador de cuchillas,P774,Afiladores,0.046,300.06
100436,POLI-9,"Lijadora manual base de aluminio 8 x 24 cm, Truper",MM00,4,24,219,Pieza,7.50624E+12,139,0,179,139,219,154.31,119.83,188.79,Truper,171.55,199,31162800,Ferretería en general,P149,Lijas,0.317,2255.38
100495,ESMU-112,"Escalera multiposición 12 peldaños, Tipo I, Truper",MM00,1,0,3650,Pieza,7.50624E+12,2500,0,3000,2500,3650,2586.21,2155.17,3146.55,Truper,2844.83,3300,30191500,Escaleras y andamios,P539,Escaleras,19.51,104652
100503,PUN-7PH1,"Estuche con 7 puntas de cruz combinadas largo 1', Expert",MM00,6,72,46,Set,7.50624E+12,29,0,37,29,46,31.9,25,39.66,Expert,35.34,41,27113200,Juegos de herramientas,P118,Puntas para desarmador,0.045,134.688
100504,PUN-7PH2,"Estuche con 7 puntas de cruz combinadas largo 2', Expert",MM00,6,72,70,Set,7.50624E+12,45,0,59,45,70,50.86,38.79,60.34,Expert,56.03,65,27113200,Juegos de herramientas,P118,Puntas para desarmador,0.095,185.578
100505,PUN-6PL1,"Estuche con 6 puntas planas combinadas largo 1', Expert",MM00,6,72,46,Set,7.50624E+12,29,0,37,29,46,31.9,25,39.66,Expert,35.34,41,27113200,Juegos de herramientas,P118,Puntas para desarmador,0.04,139.628
100506,PUN-6PL2,"Estuche con 6 puntas planas combinadas largo 2', Expert",MM00,6,72,65,Set,7.50624E+12,42,0,55,42,65,47.41,36.21,56.03,Expert,50.86,59,27113200,Juegos de herramientas,P118,Puntas para desarmador,0.075,199.949
100516,SN-PI20,"Pinza niveladora de azulejos, TRUPER",MM00,3,36,179,Pieza,7.50624E+12,115,0,149,115,179,128.45,99.14,154.31,Truper,142.24,165,31162800,Ferretería en general,P288,Separadores de loseta,0.42,4810.391
100518,SN-CU16,"Bolsa con 100 cuñas para nivelación de azulejos, TRUPER",MM00,4,36,139,Pieza,7.50624E+12,89,0,115,89,139,99.14,76.72,119.83,Truper,109.48,127,31162800,Ferretería en general,P288,Separadores de loseta,0.519,3369.327
100652,TF-112,"Tijera para ramas 38 cm, mgos de aluminio, TRUPER EXPERT",MM00,3,12,255,Pieza,7.50624E+12,175,0,209,175,255,180.17,150.86,219.83,Expert,197.41,229,44121618,Tijeras,P782,Tijeras a dos manos y cortadores de ramas altas,0.39,1722.104
100655,T-460-12B,"Machete rambo 12', cacha inyectada negra, TRUPER",MM0,4,60,109,Pieza,7.50624E+12,75,0,89,75,109,76.72,64.66,93.97,Truper,85.34,99,27112001,Machetes,P092,Machetes,0.328,523.688
100662,T275-5X,"Pinza 5' de corte para electrónica, Truper Expert",MM00,6,36,109,Pieza,7.50624E+12,69,0,89,69,109,76.72,59.48,93.97,Expert,85.34,99,27112105,Pinzas,P267,"Pinzas pela cables, corta cables y para electrónica",0.076,523.687
10067,BOMEX-25,"Bomba extractora de aceites con manivela, Truper",MM00,1,4,905,Pieza,7.50121E+12,625,0,745,625,905,642.24,538.79,780.17,Truper,711.21,825,40151500,Bombas,P297,Bombas de extracción,3.695,8950.3
100679,GRIP-CAT,2 puños para bastidor tubular p/carretillas TRUPER y EXPERT,MM00,6,36,39,Juego,7.50624E+12,25,0,33,25,39,28.45,21.55,33.62,Expert,31.03,36,31162800,Ferretería en general,P433,Refacciones de carretillas,0.13,958.764
100696,JOY-Y03,Desarmador de precisión punta triwing Y000 mango ergonómico,MM00,6,72,24,Pieza,7.50624E+12,14,0,20,14,24,17.24,12.07,20.69,Truper,18.97,22,27111701,Destornilladores,P253,Desarmadores,0.03,290.759
100697,JOY-E1,Desarmador de precisión pentalobe PL1 mango ergonómico,MM00,6,72,24,Pieza,7.50624E+12,14,0,20,14,24,17.24,12.07,20.69,Truper,18.97,22,27111701,Destornilladores,P253,Desarmadores,0.03,286.211
10070,BOAP-1,"Bomba periférica 1HP, altura máx 70m, uso agrícola, EXPERT",MM0,1,0,2395,Pieza,7.50121E+12,1650,1,1975,1650,2395,1975,1650,2395,Expert,2175,2175,21101800,Aparatos dispersores o aspersores para agricultura,P146,Bombas para agua,10.46,13695.5
100733,RE-TI,"Remachadora de uso rudo tipo tijera, 13', Truper",MM00,3,18,425,Pieza,7.50624E+12,295,0,355,295,425,306.03,254.31,366.38,Truper,331.9,385,31162800,Ferretería en general,P123,Remachadoras,1.158,3637.685
100752,A2C,"Azadón dos cuernos, mango de madera 54', TRUPER",MM00,6,0,187,Pieza,7.50624E+12,119,0,155,119,187,133.62,102.59,161.21,Truper,145.69,169,27112002,Azadones,P739,Azadones de zanco,0.935,5510.835
100754,CO-80P,"Concha plástica para carretilla TP-8, TRUPER",MM00,1,0,785,Pieza,7.50624E+12,545,0,655,545,785,564.66,469.83,676.72,Truper,616.38,715,31162800,Ferretería en general,P433,Refacciones de carretillas,6.72,33117
100777,CAIMAN-T,"Blíster con 2 caimanes para cables pasa corriente, Truper",MM00,3,48,93,Set,7.50624E+12,59,0,77,59,93,66.38,50.86,80.17,Truper,73.28,85,39121441,Cable de puente eléctrico,P158,Cables pasa corriente,0.265,1868.125
100778,BOT-1,"Bomba autocebante para uso con taladro, TRUPER",MM00,2,60,299,Pieza,7.50624E+12,189,0,245,189,299,211.21,162.93,257.76,Truper,231.9,269,31162800,Ferretería en general,P146,Bombas para agua,0.264,2449.5
100779,CLNE-18E,"Clavadora y engrapadora neumática profesional, calibre 18",MM00,1,5,1275,Pieza,7.50624E+12,875,0,1050,875,1275,905.17,754.31,1099.14,Truper,991.38,1150,31162800,Ferretería en general,P290,Engrapadoras y clavadoras neumáticas,2.403,9401.885
100785,JM-HO,Juego 7 piezas de martillos y entibadores para hojalatero,MM00,1,4,2150,Set,7.50624E+12,1490,0,1785,1490,2150,1538.79,1284.48,1853.45,Truper,1681.03,1950,27113200,Juegos de herramientas,P203,Herramientas automotrices,6.6,16313.67
100787,BASE-50M,"Báscula electrónica para equipaje, de pilas, 50 kg, Truper",MM00,3,96,179,Pieza,7.50624E+12,125,0,149,125,179,128.45,107.76,154.31,Truper,142.24,165,41111500,Instrumentos de medición del peso,P666,Básculas,0.121,886.73
100788,BASE-300C,"Báscula electrónica colgante, de pilas, 300 kg, Truper",MM00,1,20,1525,Pieza,7.50624E+12,1050,0,1265,1050,1525,1090.52,905.17,1314.66,Truper,1193.97,1385,41111500,Instrumentos de medición del peso,P666,Básculas,0.821,2296.044
10079,CAT-15FF,"Carretilla 5 ft3 Imponchable, bastidor tubular, Truper",MM00,1,0,1925,Pieza,7.50624E+12,1445,0,1585,1445,1925,1366.38,1245.69,1659.48,Truper,1508.62,1750,24101507,Carretillas,P432,Carretillas nacionales y Latam,16.5,79731.995
100811,NL-TRI-150,"Tripié telescópico para nivel láser, altura max. 1.45 m",MM0,1,4,1125,Pieza,7.50624E+12,845,0,925,845,1125,797.41,728.45,969.83,Truper,883.62,1025,31162800,Ferretería en general,P770,"Niveles láser, medidores y detectores",1.53,17817.525
100812,LEN-NL-V,"Lentes de seguridad para láser verde, Truper",MM00,2,36,179,Pieza,7.50624E+12,115,0,149,115,179,128.45,99.14,154.31,Truper,142.24,165,46181811,Lentes protectores,P222,Goggles y lentes,0.08,2040.366
100815,KITB-5X,"Juego de 4 brocasierras bimetálicas y 1 mandril, Expert",MM00,2,16,715,Set,7.50624E+12,455,0,590,455,715,508.62,392.24,616.38,Expert,560.34,650,31162800,Ferretería en general,P506,Brocasierras bimetálicas,0.64,2753.478
100816,KITB-3X,"Juego de 3 piezas para instalar cerraduras, Truper Expert",MM00,2,16,399,Set,7.50624E+12,255,0,329,255,399,283.62,219.83,343.97,Expert,309.48,359,31162800,Ferretería en general,P506,Brocasierras bimetálicas,0.3,2125.732
100817,LLJ-140T,"Llave p/manguera, de latón, 140g, 1/2', granel, TRUPER",MM00,6,144,95,Pieza,7.50624E+12,65,0,79,65,95,68.1,56.03,81.9,Truper,73.28,85,31162800,Ferretería en general,P177,Llaves de jardín,0.131,214.524
100825,PROSO-1M,"Protección para soldar, peto de mezclilla, Truper",MM00,5,50,155,Pieza,7.50624E+12,99,0,129,99,155,111.21,85.34,133.62,Truper,119.83,139,46181700,Protectores de cara y cabeza,P562,"Caretas, gafas y protectores",0.202,892.584
100826,PROSO-2M,"Protección para soldar, mangas de mezclilla, Truper",MM00,5,50,149,Par,7.50624E+12,95,0,125,95,149,107.76,81.9,128.45,Truper,116.38,135,46181700,Protectores de cara y cabeza,P562,"Caretas, gafas y protectores",0.225,993.6
100827,PROSO-4M,"Protección para soldar, capucha de mezclilla, Truper",MM00,5,50,135,Pieza,7.50624E+12,85,0,110,85,135,94.83,73.28,116.38,Truper,103.45,120,46181700,Protectores de cara y cabeza,P562,"Caretas, gafas y protectores",0.145,630.74
100850,NM-6S,"Navaja auto-retráctil de seguridad 7', Truper",MM00,6,48,259,Pieza,7.50624E+12,165,0,215,165,259,185.34,142.24,223.28,Truper,202.59,235,27111500,Herramientas de corte y engarzado y punzones,P734,Navajas y cuchillos tácticos,0.22,836.719
100851,CT-608MR,"Carda copa 3' alambre trenzado fino, Multi-rosca, Truper",MM00,4,24,155,Pieza,7.50624E+12,99,0,129,99,155,111.21,85.34,133.62,Truper,119.83,139,31162800,Ferretería en general,P025,Cardas,0.299,1153.625
100852,CT-610MR,"Carda copa 4' alambre trenzado fino, Multi-rosca, Truper",MM00,4,24,245,Pieza,7.50624E+12,155,0,199,155,245,171.55,133.62,211.21,Truper,188.79,219,31162800,Ferretería en general,P025,Cardas,0.616,1772.179
100853,CT-612MR,"Carda copa 5' alambre trenzado fino, Multi-rosca, Truper",MM00,4,16,305,Pieza,7.50624E+12,195,0,255,195,305,219.83,168.1,262.93,Truper,240.52,279,31162800,Ferretería en general,P025,Cardas,0.8,2578.146
100854,CT-608MRX,"Carda copa 3' alambre trenzado grueso, Multi-rosca, Truper",MM00,4,24,155,Pieza,7.50624E+12,99,0,129,99,155,111.21,85.34,133.62,Truper,119.83,139,31162800,Ferretería en general,P025,Cardas,0.315,1149.951
100855,CT-610MRX,"Carda copa 4' alambre trenzado grueso, Multi-rosca, Truper",MM00,4,24,245,Pieza,7.50624E+12,155,0,199,155,245,171.55,133.62,211.21,Truper,188.79,219,31162800,Ferretería en general,P025,Cardas,0.641,1780.333
100856,CT-612MRX,"Carda copa 5' alambre trenzado grueso, Multi-rosca, Truper",MM00,4,16,305,Pieza,7.50624E+12,195,0,255,195,305,219.83,168.1,262.93,Truper,240.52,279,31162800,Ferretería en general,P025,Cardas,0.82,2647.523
100857,CO-508MR,"Carda copa 3' alambre ondulado fino, Multi-rosca, Truper",MM00,4,24,117,Pieza,7.50624E+12,75,0,97,75,117,83.62,64.66,100.86,Truper,92.24,107,31162800,Ferretería en general,P025,Cardas,0.266,1212.957
100858,CO-510MR,"Carda copa 4' alambre ondulado fino, Multi-rosca, Truper",MM00,4,24,195,Pieza,7.50624E+12,125,0,165,125,195,142.24,107.76,168.1,Truper,154.31,179,31162800,Ferretería en general,P025,Cardas,0.426,1759.296
100859,CO-512MR,"Carda copa 5' alambre ondulado fino, Multi-rosca, Truper",MM00,4,16,289,Pieza,7.50624E+12,185,0,239,185,289,206.03,159.48,249.14,Truper,228.45,265,31162800,Ferretería en general,P025,Cardas,0.695,2923.83
100860,REF-BAS-01,"Charola para báscula mecánica, Truper",MM00,1,0,229,Pieza,7.50624E+12,145,0,189,145,229,162.93,125,197.41,Truper,180.17,209,31162800,Ferretería en general,P666,Básculas,0.35,6692.188
100861,REF-BASC-01,"Charola para báscula mecánica colgante, Truper",MM00,1,10,525,Pieza,7.50624E+12,335,0,435,335,525,375,288.79,452.59,Truper,409.48,475,31162800,Ferretería en general,P666,Básculas,0.85,8393.175
100868,RMAX-7NX,"Rotomartillo SDS Max 6kg, 7J, 1100W, TRUPER EXPERT",MM0,1,0,6350,Pieza,7.50624E+12,4750,0,5250,4750,6350,4525.86,4094.83,5474.14,Expert,4956.9,5750,27111515,Taladro de mano,P097,Máquinas portátiles,10.14,42017.616
100869,RMAX-15NX,"Rotomartillo SDS Max 9kg, 15J, 1500W, TRUPER EXPERT",MM0,1,0,13250,Pieza,7.50624E+12,9950,0,10950,9950,13250,9439.66,8577.59,11422.41,Expert,10344.83,12000,27112700,Herramientas mecánicas,P097,Máquinas portátiles,13.24,41760
100870,CO-512MRX,"Carda copa 5' alambre ondulado grueso, Multi-rosca, Truper",MM00,4,16,289,Pieza,7.50624E+12,185,0,239,185,289,206.03,159.48,249.14,Truper,228.45,265,31162800,Ferretería en general,P025,Cardas,0.72,2955.648
100871,BASE-40T,"Báscula electrónica multifunciones con torreta 40 kg, Truper",MM00,1,4,1815,Pieza,7.50624E+12,1250,0,1495,1250,1815,1288.79,1077.59,1564.66,Truper,1422.41,1650,31162800,Ferretería en general,P666,Básculas,3.9,29543.04
100873,D-1406-B,"Dado de 3/16', 12 puntas, cuadro 1/4', Truper",MM00,6,24,30,Pieza,7.50624E+12,18,0,25,18,30,21.55,15.52,25.86,Truper,24.14,28,27111700,Llaves inglesas y guías,P805,Dados y accesorios 1/4',0.015,143.42
