código,clave,descripción,margen de mercado,caja,master,precio,unidad,ean,precio mínimo de venta,alta rotación,precio mayoreo con IVA,precio distribuidor con IVA,precio público con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio público sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripción Familia,Peso[Kg],Volumen[cm3]
48882,CC-981,"Tuerca unión latón cobrizado 1/2' rosca interior, FOSET",MM00,2,300,77,Pieza,7.50624E+12,49,0,64,49,77,55.17,42.24,66.38,Foset,59.48,69,31161700,Tuercas,P668,Conexiones roscables de cobre y bronce,0.07,51.463
48883,CC-982,"Tuerca unión latón cobrizado 3/4' rosca interior, FOSET",MM00,2,100,135,Pieza,7.50624E+12,85,0,110,85,135,94.83,73.28,116.38,Foset,103.45,120,31161700,Tuercas,P668,Conexiones roscables de cobre y bronce,0.13,125.54
48884,CC-983,"Tuerca unión latón cobrizado 1' rosca interior, FOSET",MM00,2,60,339,Pieza,7.50624E+12,215,0,279,215,339,240.52,185.34,292.24,Foset,266.38,309,31161700,Tuercas,P668,Conexiones roscables de cobre y bronce,0.32,210.932
48885,CC-701,"Tee de cobre rosca interior central 1/2', FOSET",MM00,2,300,55,Pieza,7.50624E+12,35,0,45,35,55,38.79,30.17,47.41,Foset,43.1,50,40172609,Acoples de tubos de plástico cpvc,P668,Conexiones roscables de cobre y bronce,0.055,56.948
48886,CC-702,"Tee de cobre rosca interior central 3/4', FOSET",MM00,2,100,125,Pieza,7.50624E+12,79,0,103,79,125,88.79,68.1,107.76,Foset,97.41,113,40172609,Acoples de tubos de plástico cpvc,P668,Conexiones roscables de cobre y bronce,0.127,122.475
48887,CC-711,"Tee de cobre rosca interior lateral 1/2', FOSET",MM00,2,250,77,Pieza,7.50624E+12,49,0,64,49,77,55.17,42.24,66.38,Foset,59.48,69,40172609,Acoples de tubos de plástico cpvc,P668,Conexiones roscables de cobre y bronce,0.07,65.044
48888,CC-712,"Tee de cobre rosca interior lateral 3/4', FOSET",MM00,2,100,125,Pieza,7.50624E+12,79,0,103,79,125,88.79,68.1,107.76,Foset,97.41,113,40172609,Acoples de tubos de plástico cpvc,P668,Conexiones roscables de cobre y bronce,0.12,135
48889,CC-771,"Cruz sencilla de cobre 1/2', FOSET",MM00,2,300,46,Pieza,7.50624E+12,29,0,37,29,46,31.9,25,39.66,Foset,35.34,41,25191719,Llave para tuercas de llantas,P597,Conexiones soldables de cobre,0.052,57.733
48890,CC-772,"Cruz sencilla de cobre 3/4', FOSET",MM00,2,250,102,Pieza,7.50624E+12,65,0,85,65,102,73.28,56.03,87.93,Foset,80.17,93,25191719,Llave para tuercas de llantas,P597,Conexiones soldables de cobre,0.11,140.908
48891,CC-773,"Cruz sencilla de cobre 1', FOSET",MM00,2,100,179,Pieza,7.50624E+12,115,0,149,115,179,128.45,99.14,154.31,Foset,142.24,165,25191719,Llave para tuercas de llantas,P597,Conexiones soldables de cobre,0.187,305.9
48892,CC-801,"Yee sencilla de cobre 1/2', FOSET",MM00,2,250,58,Pieza,7.50624E+12,37,0,48,37,58,41.38,31.9,50,Foset,45.69,53,40172600,Acoples de tubos,P597,Conexiones soldables de cobre,0.059,70.84
48893,CC-802,"Yee sencilla de cobre 3/4', FOSET",MM00,2,160,92,Pieza,7.50624E+12,58,0,75,58,92,64.66,50,79.31,Foset,71.55,83,40172600,Acoples de tubos,P597,Conexiones soldables de cobre,0.105,132.681
